trip_id,drone_id,time_seconds,phase,lon,lat,alt_m,distance_3d_km,terrain_obstructed,fspl_db,obstruction_loss_db,path_loss_db,bidirectional_loss_limit_db,margin_db,available
Q2-010,U08,3282.26362687211,cruise,109.22318553599553,23.008313207550007,368.4154968261719,0.8166002157745781,False,98.29441464109037,0.0,98.29441464109037,122.0,23.70558535890963,True
Q2-010,U08,3287.26362687211,cruise,109.22391684649538,23.008331932785946,368.4154968261719,0.7446677853443979,False,97.49347616382461,0.0,97.49347616382461,122.0,24.50652383617539,True
Q2-010,U08,3292.26362687211,cruise,109.22464815699524,23.008350658021882,368.4154968261719,0.6734049946993638,False,96.61975149945907,0.0,96.61975149945907,122.0,25.38024850054093,True
Q2-010,U08,3297.26362687211,cruise,109.2253794674951,23.008369383257822,368.4154968261719,0.603049282246785,False,95.66128093220148,0.0,95.66128093220148,122.0,26.33871906779852,True
Q2-010,U08,3302.26362687211,cruise,109.22611077799496,23.008388108493758,368.4154968261719,0.5339593202417547,False,94.60438826441018,0.0,94.60438826441018,122.0,27.395611735589824,True
Q2-010,U08,3307.26362687211,cruise,109.22684208849482,23.008406833729698,368.4154968261719,0.46669758816217344,False,93.43493596440295,0.0,93.43493596440295,122.0,28.565064035597047,True
Q2-010,U08,3312.26362687211,cruise,109.22757339899468,23.008425558965634,368.4154968261719,0.40218239834032693,False,92.14268602662987,0.0,92.14268602662987,122.0,29.857313973370125,True
Q2-010,U08,3317.26362687211,cruise,109.22830470949454,23.008444284201573,368.4154968261719,0.3419717521002543,False,90.73402950426393,0.0,90.73402950426393,122.0,31.26597049573607,True
Q2-010,U08,3322.26362687211,cruise,109.2290360199944,23.00846300943751,368.4154968261719,0.28877089057236127,False,89.2652930788765,0.0,89.2652930788765,122.0,32.734706921123504,True
Q2-010,U08,3327.26362687211,cruise,109.22976733049425,23.00848173467345,368.4154968261719,0.24714878292924317,False,87.91339435708163,0.0,87.91339435708163,122.0,34.08660564291837,True
Q2-010,U08,3332.26362687211,cruise,109.23049864099411,23.008500459909385,368.4154968261719,0.2236657228213654,False,87.0462134897757,0.0,87.0462134897757,122.0,34.953786510224305,True
Q2-010,U08,3334.6775058328994,descent,109.2308517,23.0085095,368.4154968261719,0.2207154968261719,False,86.93088137057974,0.0,86.93088137057974,122.0,35.06911862942026,True
Q2-010,U08,3339.6775058328994,descent,109.2308517,23.0085095,358.4154968261718,0.21071549682617183,False,86.5281543635375,0.0,86.5281543635375,122.0,35.471845636462504,True
Q2-010,U08,3344.6775058328994,descent,109.2308517,23.0085095,348.4154968261718,0.20071549682617182,False,86.10584292935053,0.0,86.10584292935053,122.0,35.89415707064947,True
Q2-010,U08,3349.6775058328994,descent,109.2308517,23.0085095,338.41549682617176,0.19071549682617178,False,85.66194450665209,0.0,85.66194450665209,122.0,36.33805549334791,True
